,County,State,Total infections
768,Lafourche County,Louisiana,4614679
769,Morehouse County,Louisiana,1240201
770,Natchitoches County,Louisiana,1782072
771,Orleans County,Louisiana,13153468
772,Plaquemines County,Louisiana,1088727
773,Pointe Coupee County,Louisiana,1107820
774,Rapides County,Louisiana,5572293
775,Red River County,Louisiana,383498
776,Sabine County,Louisiana,1249697
777,St. Bernard County,Louisiana,1828005
778,St. Charles County,Louisiana,2435335
779,St. Helena County,Louisiana,383235
780,St. James County,Louisiana,911991
781,St. John the Baptist County,Louisiana,1699818
782,St. Landry County,Louisiana,3883954
783,St. Martin County,Louisiana,2320720
784,St. Mary County,Louisiana,2215513
785,St. Tammany County,Louisiana,11618826
786,Tangipahoa County,Louisiana,5979718
787,Tensas County,Louisiana,151720
788,Terrebonne County,Louisiana,4939969
789,Vernon County,Louisiana,1519902
790,West Baton Rouge County,Louisiana,1224192
791,West Carroll County,Louisiana,532580
792,West Feliciana County,Louisiana,466375
793,Winn County,Louisiana,697490
794,Androscoggin County,Maine,3006032
795,Aroostook County,Maine,925173
796,Kennebec County,Maine,2505969
797,Oxford County,Maine,1376560
798,Penobscot County,Maine,2760368
799,Piscataquis County,Maine,272711
800,Sagadahoc County,Maine,544141
801,Somerset County,Maine,977340
802,Waldo County,Maine,512886
803,York County,Maine,5050483
804,Allegany County,Maryland,2815447
805,Anne Arundel County,Maryland,16184326
806,Baltimore County,Maryland,23747267
807,Baltimore city County,Maryland,19072105
808,Calvert County,Maryland,1642615
809,Caroline County,Maryland,917271
810,Cecil County,Maryland,2458924
811,Charles County,Maryland,4175851
812,Dorchester County,Maryland,1126697
813,Frederick County,Maryland,7450994
814,Garrett County,Maryland,867800
815,Harford County,Maryland,6125693
816,Prince George's County,Maryland,31463317
817,Queen Anne's County,Maryland,1149898
818,St. Mary's County,Maryland,2516875
819,Wicomico County,Maryland,3088101
820,Worcester County,Maryland,1445899
821,Barnstable County,Massachusetts,5227429
822,Berkshire County,Massachusetts,2566009
